label,count,best_reference_label,best_similarity_score,assigned_category,assigned_at_0_70,assigned_at_0_75,assigned_at_0_80
digestives_symptoms,45,disease symptom,0.7058823529411765,Biospecimen Disease Condition,True,False,False
growth type,44,growth time,0.8181818181818182,Biospecimen Age,True,True,True
vendor,44,vendor id,0.8,External_sample_id,True,True,True
translocation,44,treatment location,0.7741935483870968,Treatment,True,True,False
receptor status,44,tumor status,0.7407407407407407,Biospecimen Disease Condition,True,False,False
histological grade,44,histological diagnosis,0.7,Biospecimen Disease Condition,True,False,False
collection date,43,collection day,0.896551724137931,Biospecimen Age,True,True,True
differentiation status,43,differentiation stage,0.8837209302325582,Biospecimen Age,True,True,True
nutritional state,43,gestational stage,0.7058823529411765,Biospecimen Age,True,False,False
injection,42,infection,0.8888888888888888,Biospecimen Disease Condition,True,True,True
state of culture,42,age of  culture,0.8387096774193549,Biospecimen Age,True,True,True
specificity,42,specific-host,0.75,Biospecimen Organism,True,True,False
experimental variables,42,experimental day,0.7368421052631579,Biospecimen Age,True,False,False
er status,41,cancer status,0.8181818181818182,Biospecimen Disease Condition,True,True,True
overall.survival,40,overall.survival.time,0.8648648648648649,Biospecimen Age,True,True,True
collection,40,collection day,0.8333333333333334,Biospecimen Age,True,True,True
who class,40,tumor class,0.7,Biospecimen Disease Condition,True,False,False
experimental repeat,39,experimental group,0.8108108108108109,Treatment,True,True,True
specific,39,specific-host,0.7619047619047619,Biospecimen Organism,True,True,False
neuropathological.information,39,neuropathological_diagnosis,0.75,Biospecimen Disease Condition,True,True,False
radiation exposure,39,lung radiation dose,0.7027027027027027,Treatment Dosage Regimen,True,False,False
genomic modification,38,chemical modification,0.8292682926829268,Treatment,True,True,True
experimental batch,38,experimental day,0.8235294117647058,Biospecimen Age,True,True,True
pooled,38,pool id,0.7692307692307693,External_sample_id,True,True,False
Source,37,source id,0.8,External_sample_id,True,True,True
virus-stimulation,37,time post-stimulation,0.7368421052631579,Biospecimen Age,True,False,False
paired with,37,paired patient,0.72,External_sample_id,True,False,False
experimental,36,experimental day,0.8571428571428571,Biospecimen Age,True,True,True
indication,36,induration,0.8,Treatment Dosage Regimen,True,True,True
number of replicates,36,number of cells,0.7428571428571429,Biospecimen Type,True,False,False
location type,36,location tumor,0.7407407407407407,Biospecimen Disease Condition,True,False,False
clinical information,36,clinical condition,0.7368421052631579,Biospecimen Disease Condition,True,False,False
parasite,36,parasite stage,0.7272727272727273,Biospecimen Age,True,False,False
inhibitor removal,36,inhibitor treatment,0.7222222222222222,Treatment,True,False,False
Clinical Status,35,clinical stage,0.8275862068965517,Biospecimen Age,True,True,True
experimental design,35,experimental day,0.8,Biospecimen Age,True,True,True
hours post fertilization,35,hours post infection,0.7727272727272727,Biospecimen Disease Condition,True,True,False
donation source,35,control source,0.7586206896551724,Treatment,True,True,False
labversion description,35,age description,0.7567567567567568,Biospecimen Age,True,True,False
Type of Surgery,34,year of surgery,0.8666666666666667,Biospecimen Age,True,True,True
body site,34,biopsy site,0.8,Biospecimen Type,True,True,True
tretment,33,treatment,0.9411764705882353,Treatment,True,True,True
infectious,33,infection,0.8421052631578947,Biospecimen Disease Condition,True,True,True
viral infected,33,viral infection,0.8275862068965517,Biospecimen Disease Condition,True,True,True
parasite isolate,33,parasite stage,0.8,Biospecimen Age,True,True,True
gene,33,gender,0.8,Biospecimen Sex,True,True,True
chip-antibody vendor,33,antibody vendor id,0.7894736842105263,External_sample_id,True,True,False
clinical phenotypes,33,cell phenotype,0.7878787878787878,Biospecimen Type,True,True,False
alternative_name,33,alternative sample name,0.7692307692307693,External_sample_id,True,True,False
core code,33,donor code,0.7368421052631579,External_sample_id,True,False,False
sputum smear status,33,tumor status,0.7096774193548387,Biospecimen Disease Condition,True,False,False
animal number,32,animal id number,0.896551724137931,External_sample_id,True,True,True
water type,32,cancer type,0.7619047619047619,Biospecimen Disease Condition,True,True,False
maternal health status,31,maternal disease status,0.8,Biospecimen Disease Condition,True,True,True
antibody status,31,organoid status,0.7333333333333333,External_sample_id,True,False,False
differentiation state,30,differentiation stage,0.9523809523809523,Biospecimen Age,True,True,True
single or double infected,30,single or double infection,0.9019607843137255,Biospecimen Disease Condition,True,True,True
sampling point,30,sampling timepoint,0.875,Biospecimen Age,True,True,True
virus added,30,virus dose,0.7619047619047619,Treatment Dosage Regimen,True,True,False
phenotypes,30,cell phenotype,0.75,Biospecimen Type,True,True,False
brain section,30,infection,0.7272727272727273,Biospecimen Disease Condition,True,False,False
affected status,29,infection status,0.7096774193548387,Biospecimen Disease Condition,True,False,False
derived from metastatic site,29,large cell lung cancer derived from metastatic site,0.7088607594936709,Biospecimen Type,True,False,False
Pathogen,29,pathology,0.7058823529411765,Biospecimen Disease Condition,True,False,False
plate code,28,patient code,0.8181818181818182,External_sample_id,True,True,True
culture status,28,culture stage,0.8148148148148148,Biospecimen Age,True,True,True
experimental factor,28,experimental day,0.8,Biospecimen Age,True,True,True
genetic modifications,28,chemical modification,0.7619047619047619,Treatment,True,True,False
skin phenotype,28,cell phenotype,0.7142857142857143,Biospecimen Type,True,False,False
series,27,species,0.7692307692307693,Biospecimen Organism,True,True,False
sampling location,27,sampling timepoint,0.7428571428571429,Biospecimen Age,True,False,False
sort fraction,27,age fraction,0.72,Biospecimen Age,True,False,False
pulmonary compartment,27,cell compartment,0.7027027027027027,Biospecimen Type,True,False,False
clone phenotype,26,cell phenotype,0.8275862068965517,Biospecimen Type,True,True,True
harvesting,26,harvesting time,0.8,Biospecimen Age,True,True,True
clinical,26,clinical stage,0.7272727272727273,Biospecimen Age,True,False,False
collection_date,25,collection day,0.8275862068965517,Biospecimen Age,True,True,True
twin status,25,tissue status,0.75,Biospecimen Type,True,True,False
hours post-infection,24,hours post infection,0.95,Biospecimen Disease Condition,True,True,True
interaction status,24,infection status,0.8823529411764706,Biospecimen Disease Condition,True,True,True
channel type,24,cancer type,0.782608695652174,Biospecimen Disease Condition,True,True,False
clone type,24,cancer type,0.7619047619047619,Biospecimen Disease Condition,True,True,False
pair status,24,cancer status,0.75,Biospecimen Disease Condition,True,True,False
anatomical site,24,tissue anatomic site,0.7428571428571429,Biospecimen Type,True,False,False
fip status,24,covid status,0.7272727272727273,External_sample_id,True,False,False
resection_type,24,infection type,0.7142857142857143,Biospecimen Disease Condition,True,False,False
implantation,24,cell type implantation,0.7058823529411765,Biospecimen Type,True,False,False
os months,23,os month,0.9411764705882353,Biospecimen Age,True,True,True
molecule source,23,sample source,0.7142857142857143,External_sample_id,True,False,False
histological subtype,23,biological sex,0.7058823529411765,Biospecimen Sex,True,False,False
strand,22,strain,0.8333333333333334,Biospecimen Organism,True,True,True
