Gene,Disease,disease_name
creb1,ORPHA:97338,Orphanet: Melanoma of soft tissue
kif14,ORPHA:439897,Orphanet: Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome
kcnj11,ORPHA:79134,Orphanet: DEND syndrome
abcc9,ORPHA:130,Orphanet: Brugada syndrome
coq7,ORPHA:319678,Orphanet: Encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome
ddit3,ORPHA:99967,Orphanet: Myxoid/round cell liposarcoma
atxn3,ORPHA:276241,Orphanet: Machado-Joseph disease type 2
ctsa,ORPHA:575553,Orphanet: Cathepsin A-related arteriopathy-strokes-leukoencephalopathy
scn5a,ORPHA:1344,Orphanet: Atrial standstill
stat5b,ORPHA:520,Orphanet: Acute promyelocytic leukemia
hprt1,ORPHA:79233,Orphanet: Hypoxanthine guanine phosphoribosyltransferase partial deficiency
pmm2,ORPHA:79318,Orphanet: PMM2-CDG
xpnpep2,ORPHA:100057,Orphanet: Renin-angiotensin-aldosterone system-blocker-induced angioedema
erap1,ORPHA:117,Orphanet: Behçet disease
xpnpep3,ORPHA:93589,Orphanet: Late-onset nephronophthisis
krt85,ORPHA:69084,Orphanet: Pure hair and nail ectodermal dysplasia
gria3,ORPHA:364028,Orphanet: X-linked intellectual disability due to GRIA3 mutations
gfer,ORPHA:330054,Orphanet: Congenital cataract-progressive muscular hypotonia-hearing loss-developmental delay syndrome
pgk1,ORPHA:713,Orphanet: Glycogen storage disease due to phosphoglycerate kinase 1 deficiency
polg,ORPHA:254886,Orphanet: Autosomal recessive progressive external ophthalmoplegia
fgfr2,ORPHA:596008,Orphanet: Antley-Bixler syndrome without genital anomaly or disorder of steroidogenesis
