shared_gene,phenotype,concurrency_phenotype,concurrency_gene,Total_concurrency
['P2Y(ADP)'],[],0,0,0
['NDUFA7'],[],0,0,0
['3.5.1.44'],[],0,0,0
['PCCMT'],[],0,0,0
['NK-3 receptor'],[],0,0,0
['2.7.4.24'],[],0,0,0
['Kinesin-related motor interacting with PIN1'],[],0,0,0
['SRcyp'],[],0,0,0
['Nuclear receptor subfamily 1 group H member 4'],[],0,0,0
['CK2A1'],[],0,0,0
['T-box protein 5'],[],0,0,0
