Omics_type,Sequencing_type,Sequencing_library,Omics_type_norm,Assay_type_norm,Sequencing_library_norm,Annotation
[],"['ATAC-seq', 'ChIP-Seq']",genomic DNA,Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'Hi-C', 'OTHER']",genomic DNA,Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'OTHER', 'RIP-Seq', 'RNA-Seq', 'miRNA-Seq', 'ssRNA-seq']","['genomic DNA', 'other', 'polyA RNA', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'other', 'polyA RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'other', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'polyA RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'protein', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'OTHER']","['genomic DNA', 'nuclear RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'OTHER']",genomic DNA,Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'RNA-Seq', 'miRNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'RNA-Seq']","['genomic DNA', 'nuclear RNA', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'RNA-Seq']","['genomic DNA', 'nuclear RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'RNA-Seq']","['genomic DNA', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'RNA-Seq']","['other', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
