name,count
mechanical ventilation,162
group description,162
hours post invasion,162
seisure frequency,162
antibody catalog,161
inhibitor treatment,161
tissue archive method,160
parasite stage,160
tumor full_name,160
strain name,160
abo,160
mtb culture,159
study participant,159
disease_group_dme,158
disease_group,158
post_mortem_interval,158
post_mortem_interval_unit,158
buffer_volume_unit,158
ammount_cells,158
hba1c,158
disease_group_detailed,158
sample_site,158
ffs_status,158
time-point,158
protein exchange,158
dme,158
eye,158
samplenumber,158
other_medication,158
spike-in cell_type,158
spike-in cell_line,158
buffer_volume,158
duration_diabetis,158
ammount_cells_unit,158
dr_severity_score,158
diabetes_medication,158
fov,156
prognosis,156
study_origin,156
deceased unpaired biopsies,156
os_month,156
days after infection,156
k13 allele,156
illumina_index,156
brain bank,156
chip antibody lot,156
cag_repeat,156
age_binned,156
conversion,156
parasitemia category,155
malaria rd test,155
log2 parasitemia,155
library prep. kit,155
genotypic pc3,155
tissue origin,155
overexpression 1,154
overexpression 2,154
dm,154
idh1/2 genotype,153
restriction enzyme,153
pdgfra,152
pten,152
mdm4,152
sequencing type,152
gleason,152
differentiation_stage,152
differentiation_method,152
survival status,152
rb1,152
classifier_mes,152
classifier_rtk2,152
pathology_note,152
classifier_rtk1,152
cdk4,152
blood.source,151
aerosol.run,151
biomaterial provider,151
antibody description,151
p53 status,151
sequencing.lane,151
cage,151
lung.cfus,151
age.days,151
tb.status,151
infection.time.point.days,151
lane.ordinal,151
embryonic stage,150
anemia status at baseline,150
pf infection status,150
sample recovery type,150
ajcc uicc stage,150
splice variant,150
clinical diagnosis specimen,150
sbv challenge gold standard,150
sequencing date,150
parasite density,150
clinical diagnosis patient,150
temp max,150
hct,150
sample_barcode,149
excision year,149
flipi_score,149
hybridizationdate,149
rnaextractiondate,149
fluidigm c1 capture chip size,149
malign,148
slide_id,148
"deceased donors, only left kidney included in the analysis",148
notes,148
hc_74_samples,148
adapter,147
knockdown,147
patient's condition,147
side,146
"biopsy data, villus height to crypt depth",146
transplant type,145
total_mtb_cfu,144
time after bcg,144
distinct stages of tb,144
grans_nx,144
log_mtb_cfu,144
vax_dose,144
time points,144
dose_group,144
vax_group,144
pitt_id,144
qft result,144
protect_outcome,144
cell type_at_ko/kd,143
pneumocystis colonization,143
target gene,143
tst in mm,143
identifier,142
cell_line,142
Phenotype,141
patient treatment,141
mgmt_status,141
psa,141
chip target,141
facs markers,141
bal_smear,140
exposure_latent,140
smear of index case,140
modal x-ray grade,140
cag,140
s. haematobium at baseline,140
bal_culture,140
strandedness,140
index_case_disease_site,140
isolate_sensitivity,140
distance from the tumor center,140
crebbp,138
obtainedby description,138
ecog,138
ep300,138
foxo1,138
pasi score,138
tissue notes,138
card11,138
m7-flipi score,138
arid1a,138
mef2b,138
pathogens,138
foxp1,137
obesity,137
tumor subgroup,137
subjects,137
m7_flipi,137
modified gene-expression profiling (mgep) score,137
